Dealer Name,Address,Latitude,Longitude,Type of centre,map_link
Derco Center Gacsa - Vía Expresa con Javier Prado,Av. Paseo de la República Nro. 2323,-22.4140211,-83.8905289,"Sales, Service, Parts",https://maps.app.goo.gl/S5YR51Z1wLnKgBvs8
Derco Center Gacsa - Vía Expresa con Javier Prado,Av. Paseo de la República Nro. 2323,-22.4140211,-83.8905289,"Sales, Service, Parts",https://maps.app.goo.gl/S5YR51Z1wLnKgBvs8
Derco Center Gacsa - Vía Expresa con Javier Prado,Av. Paseo de la República Nro. 2323,-22.4140211,-83.8905289,"Sales, Service, Parts",https://maps.app.goo.gl/S5YR51Z1wLnKgBvs8
Derco Center Gacsa - Vía Expresa con Javier Prado,Av. Paseo de la República Nro. 2323,-22.4140211,-83.8905289,"Sales, Service, Parts",https://maps.app.goo.gl/S5YR51Z1wLnKgBvs8
Derco Center Gacsa - Vía Expresa con Javier Prado,Av. Paseo de la República Nro. 2323,-22.4140211,-83.8905289,"Sales, Service, Parts",https://maps.app.goo.gl/S5YR51Z1wLnKgBvs8
Derco Center Gacsa - Vía Expresa con Javier Prado,Av. Paseo de la República Nro. 2323,-22.4140211,-83.8905289,"Sales, Service, Parts",https://maps.app.goo.gl/S5YR51Z1wLnKgBvs8
Derco Center Gacsa - Vía Expresa con Javier Prado,Av. Paseo de la República Nro. 2323,-22.4140211,-83.8905289,"Sales, Service, Parts",https://maps.app.goo.gl/S5YR51Z1wLnKgBvs8
Derco Center Gacsa - Vía Expresa con Javier Prado,,,,General,
Derco Center El Derby - Surco,Jr. Cristobal de Peralta Norte Nro. 1000,-31.7039627,-90.6865468,"Sales, Service, Parts",https://maps.app.goo.gl/2xqoFbk5pTKVCKTU8
Derco Center El Derby - Surco,Jr. Cristobal de Peralta Norte Nro. 1000,-31.7039627,-90.6865468,"Sales, Service, Parts",https://maps.app.goo.gl/2xqoFbk5pTKVCKTU8
Derco Center El Derby - Surco,,,,General,
Derco center Benavides Autoland - Surco,Avenida Alfredo Benavides Nro. 4040,-22.4388816,-83.8954437,"Sales, Service, Parts",https://maps.app.goo.gl/tzA5wuARVTvEiWYE8
Derco center Benavides Autoland - Surco,Avenida Alfredo Benavides Nro. 4040,-22.4388816,-83.8954437,"Sales, Service, Parts",https://maps.app.goo.gl/tzA5wuARVTvEiWYE8
Derco center Benavides Autoland - Surco,,,,General,
Derco Center Autoland - Los Olivos,Av. Alfredo Mendiola 5225 Los Olivos,-11.9734291,-77.068454,"Sales, Service, Parts",https://maps.app.goo.gl/8HKtgryGbvHuPKJS6
Derco Center Autoland - Los Olivos,Av. Alfredo Mendiola 5225 Los Olivos,-11.9734291,-77.068454,"Sales, Service, Parts",https://maps.app.goo.gl/8HKtgryGbvHuPKJS6
Derco Center Autoland - Los Olivos,,,,General,
Derco Center Autoland Plaza Norte - Expomotor,C.C. Lima Plaza Norte - Exhibición interior sótano Expomotor,,,Sales,https://maps.app.goo.gl/4HUE5aCVNT9khKPR7
Derco Center Autoland Plaza Norte - Expomotor,C.C. Lima Plaza Norte - Exhibición interior sótano Expomotor,,,Sales,https://maps.app.goo.gl/4HUE5aCVNT9khKPR7
Derco Center Autoland Plaza Norte - Expomotor,,,,General,
Derco Center San Miguel - Open Plaza Tottus La Marina,Av. La Marina Nro. 2355,-22.4144955,-83.9463823,Sales,https://maps.app.goo.gl/Wn8eM3TrjCrZ3GGP8
Derco Center San Miguel - Open Plaza Tottus La Marina,Av. La Marina Nro. 2355,-22.4144955,-83.9463823,Sales,https://maps.app.goo.gl/Wn8eM3TrjCrZ3GGP8
Derco Center San Miguel - Open Plaza Tottus La Marina,,,,General,
Derco Center Ate Evitamiento,Av. Via Evitamiento 1646 -1652.,-12.069195,-76.9909345,Sales,https://maps.app.goo.gl/ByKHeedSsBVmRSWQ9
Derco Center Ate Evitamiento,Av. Via Evitamiento 1646 -1652.,-12.069195,-76.9909345,Sales,https://maps.app.goo.gl/ByKHeedSsBVmRSWQ9
Derco Center Ate Evitamiento,,,,General,
Derco Center Wigo Camacho,"Av. Javier Prado Este 5380, La Molina 15023",,,Sales,
Derco Center Wigo Camacho,"Av. Javier Prado Este 5380, La Molina 15023",,,Sales,
Derco Center Wigo Camacho,,,,General,
Derco Center Planeta Motors SJL,"Avenida Lurigancho, cuadra 9. Mall aventura SJL",-12.0146566,-77.0017734,Sales,https://maps.app.goo.gl/upNacPt5YUsymCrL9
Derco Center Planeta Motors SJL,"Avenida Lurigancho, cuadra 9. Mall aventura SJL",-12.0146566,-77.0017734,Sales,https://maps.app.goo.gl/upNacPt5YUsymCrL9
Derco Center Planeta Motors SJL,,,,General,
Dercocenter San Miguel - Faucett,Av. La Marina 3099,-22.4107115,-83.9482221,"Sales, Service, Parts",https://maps.app.goo.gl/BcoKEDyq8FTVC9mc7
Dercocenter San Miguel - Faucett,Av. La Marina 3099,-22.4107115,-83.9482221,"Sales, Service, Parts",https://maps.app.goo.gl/BcoKEDyq8FTVC9mc7
Dercocenter San Miguel - Faucett,,,,General,
Dercocenter Motormass Madre de Dios,Jr. Gonzales Prada N° 569,-12.5945617,-69.184502,"Sales, Service",https://maps.app.goo.gl/B52LijrbsmVbNdAa6
Dercocenter Motormass Madre de Dios,Jr. Gonzales Prada N° 569,-12.5945617,-69.184502,"Sales, Service",https://maps.app.goo.gl/B52LijrbsmVbNdAa6
Dercocenter Motormass Madre de Dios,,,,General,
Automotores Yoshival Huaraz,Av. Monterrey S/N (Carretera Huaraz Monterrey).,,,"Sales, Service",https://maps.app.goo.gl/e4F9Fyzq6SCvCeTJ8
Automotores Yoshival Huaraz,Av. Monterrey S/N (Carretera Huaraz Monterrey).,,,"Sales, Service",https://maps.app.goo.gl/e4F9Fyzq6SCvCeTJ8
Automotores Yoshival Huaraz,,,,General,
Derco Center Roberts - Lopez de Romaña,Calle Eduardo Lopez de Romaña Nro. 201,-24.5594389,-81.3283779,"Sales, Service, Parts",https://maps.app.goo.gl/8sUX9c7nmdmndtTu7
Derco Center Roberts - Lopez de Romaña,Calle Eduardo Lopez de Romaña Nro. 201,-24.5594389,-81.3283779,"Sales, Service, Parts",https://maps.app.goo.gl/8sUX9c7nmdmndtTu7
Derco Center Roberts - Lopez de Romaña,,,,General,
Derco Center Arequipa - Roberts Motor Plaza Cayma,"Av. Ejército, Cayma – Primer Nivel tienda Motor Plaza Nro. 795",-16.391166,-71.549375,Sales,https://maps.app.goo.gl/nBVpDLxGUjSia2Y76
Derco Center Arequipa - Roberts Motor Plaza Cayma,"Av. Ejército, Cayma – Primer Nivel tienda Motor Plaza Nro. 795",-16.391166,-71.549375,Sales,https://maps.app.goo.gl/nBVpDLxGUjSia2Y76
Derco Center Arequipa - Roberts Motor Plaza Cayma,,,,General,
Derco Center Arequipa - Roberts Mall Arequipa Center,Av. Aviación Nro. 202,-16.3421332,-71.588033,Sales,https://maps.app.goo.gl/dEn9RcNxs2BoDZiG6
Derco Center Arequipa - Roberts Mall Arequipa Center,Av. Aviación Nro. 202,-16.3421332,-71.588033,Sales,https://maps.app.goo.gl/dEn9RcNxs2BoDZiG6
Derco Center Arequipa - Roberts Mall Arequipa Center,,,,General,
Derco Center Arequipa Miraflores,Av. Pro Hogar Nro. 108,-24.5479241,-81.3284131,Parts,https://maps.app.goo.gl/z4jhBL1jAJ4vJWcE6
Derco Center Arequipa Miraflores,Av. Pro Hogar Nro. 108,-24.5479241,-81.3284131,Parts,https://maps.app.goo.gl/z4jhBL1jAJ4vJWcE6
Derco Center Arequipa Miraflores,,,,General,
Derco Center Arequipa - Roberts Mall Aventura,Av. Porongoche Nro. 500,-24.5561244,-81.328388,Sales,https://maps.app.goo.gl/8AhCf68NnMVNwppc8
Derco Center Arequipa - Roberts Mall Aventura,Av. Porongoche Nro. 500,-24.5561244,-81.328388,Sales,https://maps.app.goo.gl/8AhCf68NnMVNwppc8
Derco Center Arequipa - Roberts Mall Aventura,,,,General,
Derco Center Automotores Pakatnamú - Cajamarca,Av. Via de Evitamiento Norte Cdra. 3,-7.1455766,-78.5184073,"Sales, Service, Parts",https://maps.app.goo.gl/nJaFj989Ufc4BqJEA
Derco Center Automotores Pakatnamú - Cajamarca,Av. Via de Evitamiento Norte Cdra. 3,-7.1455766,-78.5184073,"Sales, Service, Parts",https://maps.app.goo.gl/nJaFj989Ufc4BqJEA
Derco Center Automotores Pakatnamú - Cajamarca,,,,General,
Derco Center Automotores Pakatnamú - Jaén,Av. Pacamuros Nro. 2485Av. Pacamuros Nro. 2485,-5.6935802,-78.8062539,"Sales, Service, Parts",https://maps.app.goo.gl/6gx1NFL9nFPVFvkF8
Derco Center Automotores Pakatnamú - Jaén,Av. Pacamuros Nro. 2485Av. Pacamuros Nro. 2485,-5.6935802,-78.8062539,"Sales, Service, Parts",https://maps.app.goo.gl/6gx1NFL9nFPVFvkF8
Derco Center Automotores Pakatnamú - Jaén,,,,General,
Derco Center Tomas Valle,Av. Tomas Valle Nro. 3233,-12.0132827,-77.0962871,Parts,https://maps.app.goo.gl/inTFdZSBdW6ue4MCA
Derco Center Tomas Valle,Av. Tomas Valle Nro. 3233,-12.0132827,-77.0962871,Parts,https://maps.app.goo.gl/inTFdZSBdW6ue4MCA
Derco Center Tomas Valle,,,,General,
Derco Center Motor Mass,Av. La Cultura Nro. 2222,-13.5272927,-71.9461823,"Sales, Service, Parts",https://maps.app.goo.gl/5ioQRoZRoWXaKuUT9
Derco Center Motor Mass,Av. La Cultura Nro. 2222,-13.5272927,-71.9461823,"Sales, Service, Parts",https://maps.app.goo.gl/5ioQRoZRoWXaKuUT9
Derco Center Motor Mass,,,,General,
Dercocenter Huánuco - KLM,Jirón Seichi Izumi Nro. 679Jirón Seichi Izumi Nro. 679,-9.9377552,-76.2495138,"Sales, Service, Parts",https://maps.app.goo.gl/gASjBh7hF3cWPwMZ6
Dercocenter Huánuco - KLM,Jirón Seichi Izumi Nro. 679Jirón Seichi Izumi Nro. 679,-9.9377552,-76.2495138,"Sales, Service, Parts",https://maps.app.goo.gl/gASjBh7hF3cWPwMZ6
Dercocenter Huánuco - KLM,,,,General,
Derco Center Pacifico Motors,Carretera Panamericana Sur Km 299.7,-23.380826,-83.2737704,"Sales, Service, Parts",https://maps.app.goo.gl/pGk4Um5bvpw34yu67
Derco Center Pacifico Motors,Carretera Panamericana Sur Km 299.7,-23.380826,-83.2737704,"Sales, Service, Parts",https://maps.app.goo.gl/pGk4Um5bvpw34yu67
Derco Center Pacifico Motors,,,,General,
Derco Center KLM Automotriz - Huancayo,Carretera Central Nro. 2405,-12.0162021,-75.246024,"Sales, Service, Parts",https://maps.app.goo.gl/o9KhkbcAYgD5dM477
Derco Center KLM Automotriz - Huancayo,Carretera Central Nro. 2405,-12.0162021,-75.246024,"Sales, Service, Parts",https://maps.app.goo.gl/o9KhkbcAYgD5dM477
Derco Center KLM Automotriz - Huancayo,,,,General,
Derco Center Pichanaqui - C.C. San Pedro,Jr. San Martin Nro. 228,-21.9594335,-83.8948765,Sales,https://maps.app.goo.gl/H4t8qbM5npKbE7Ev6
Derco Center Pichanaqui - C.C. San Pedro,Jr. San Martin Nro. 228,-21.9594335,-83.8948765,Sales,https://maps.app.goo.gl/H4t8qbM5npKbE7Ev6
Derco Center Pichanaqui - C.C. San Pedro,,,,General,
B MOTORS SAC HUAMACHUCO,"Jr. Bolognesi N° 1300, Las Terrazas Mall, Zona H. Nro. 1300",-7.8112671,-78.0470391,Sales,https://maps.app.goo.gl/DsYFxe6YPsBcwHhY9
B MOTORS SAC HUAMACHUCO,"Jr. Bolognesi N° 1300, Las Terrazas Mall, Zona H. Nro. 1300",-7.8112671,-78.0470391,Sales,https://maps.app.goo.gl/DsYFxe6YPsBcwHhY9
B MOTORS SAC HUAMACHUCO,,,,General,
Derco Center B Motors - Trujillo Costa Rica,Av. Costa Rica Mz M1 Lt 15-A,-8.1219923,-79.030684,"Sales, Service, Parts",https://maps.app.goo.gl/qtnGk1D6qcarTWhSA
Derco Center B Motors - Trujillo Costa Rica,Av. Costa Rica Mz M1 Lt 15-A,-8.1219923,-79.030684,"Sales, Service, Parts",https://maps.app.goo.gl/qtnGk1D6qcarTWhSA
Derco Center B Motors - Trujillo Costa Rica,,,,General,
Derco Center B Motors - Trujillo Mallplaza,Motor Plaza - Mallplaza (Av. América Oeste S/N),-8.1026171,-79.0512455,Sales,https://maps.app.goo.gl/zGQXfhzkeQY7CjXJ6
Derco Center B Motors - Trujillo Mallplaza,Motor Plaza - Mallplaza (Av. América Oeste S/N),-8.1026171,-79.0512455,Sales,https://maps.app.goo.gl/zGQXfhzkeQY7CjXJ6
Derco Center B Motors - Trujillo Mallplaza,,,,General,
Derco Center Automotores Pakatnamú - Panam. Norte,Carretera Panamericana Norte Nro. 1006,-6.705819,-79.905732,"Sales, Service, Parts",https://maps.app.goo.gl/DBdjrMDNhJVYnBLP7
Derco Center Automotores Pakatnamú - Panam. Norte,Carretera Panamericana Norte Nro. 1006,-6.705819,-79.905732,"Sales, Service, Parts",https://maps.app.goo.gl/DBdjrMDNhJVYnBLP7
Derco Center Automotores Pakatnamú - Panam. Norte,,,,General,
Derco Center Chiclayo - Pakatnamú Pimentel,Carretera Pimentel KM. 4.5,-6.8330007,-79.939043,Sales,https://maps.app.goo.gl/9CtU2iQ8XqG8REAf7
Derco Center Chiclayo - Pakatnamú Pimentel,Carretera Pimentel KM. 4.5,-6.8330007,-79.939043,Sales,https://maps.app.goo.gl/9CtU2iQ8XqG8REAf7
Derco Center Chiclayo - Pakatnamú Pimentel,,,,General,
Derco Center Faucett - San Miguel,Av. Elmer Faucett Nro. 357,-22.4071188,-83.9482323,Parts,https://maps.app.goo.gl/ZAaXkcFUPUyAUDv29
Derco Center Faucett - San Miguel,Av. Elmer Faucett Nro. 357,-22.4071188,-83.9482323,Parts,https://maps.app.goo.gl/ZAaXkcFUPUyAUDv29
Derco Center Faucett - San Miguel,,,,General,
Derco Center Arriola,Av. Nicolas Arriola Nro. 1545,-22.4075236,-83.9023118,Parts,https://maps.app.goo.gl/u3aU2JnTzfPWUVff7
Derco Center Arriola,Av. Nicolas Arriola Nro. 1545,-22.4075236,-83.9023118,Parts,https://maps.app.goo.gl/u3aU2JnTzfPWUVff7
Derco Center Arriola,,,,General,
Derco Center Iquitos,Av. Iquitos Nro. 129,-22.3629228,-83.9143518,Parts,https://maps.app.goo.gl/qk7PMx1ux3Tadz92A
Derco Center Iquitos,Av. Iquitos Nro. 129,-22.3629228,-83.9143518,Parts,https://maps.app.goo.gl/qk7PMx1ux3Tadz92A
Derco Center Iquitos,,,,General,
Derco Center Revoshop Mall del Sur - Expomotor,Avenida Los Lirios Nro. 301,,,Sales,https://maps.app.goo.gl/jM8LkzmrUxJfDGPH7
Derco Center Revoshop Mall del Sur - Expomotor,Avenida Los Lirios Nro. 301,,,Sales,https://maps.app.goo.gl/jM8LkzmrUxJfDGPH7
Derco Center Revoshop Mall del Sur - Expomotor,,,,General,
Derco Center Intisuyo San Miguel,Jr. Intisuyo Nro. 269,-12.0746844,-77.093657,"Service, Parts",https://maps.app.goo.gl/ixP62zjS31iBYugY6
Derco Center Intisuyo San Miguel,Jr. Intisuyo Nro. 269,-12.0746844,-77.093657,"Service, Parts",https://maps.app.goo.gl/ixP62zjS31iBYugY6
Derco Center Intisuyo San Miguel,,,,General,
Derco Center Angamos,Av. Angamos Este Nro. 1149,-22.4313205,-83.9084308,Parts,https://maps.app.goo.gl/4zCyDszcMcpXkxfw6
Derco Center Angamos,Av. Angamos Este Nro. 1149,-22.4313205,-83.9084308,Parts,https://maps.app.goo.gl/4zCyDszcMcpXkxfw6
Derco Center Angamos,,,,General,
Derco Center Planeta Motors Surquillo 1,Avenida Aramburú Nro. 1120,-22.4261743,-83.9079441,"Sales, Service",https://maps.app.goo.gl/euFoSELo88K1LwFn7
Derco Center Planeta Motors Surquillo 1,Avenida Aramburú Nro. 1120,-22.4261743,-83.9079441,"Sales, Service",https://maps.app.goo.gl/euFoSELo88K1LwFn7
Derco Center Planeta Motors Surquillo 1,,,,General,
Derco Center Piura - A. Pakatnamú,AV. Sanchez Cerro Mz 248- lote 2- Zona industrial,-5.1853494,-80.6484213,"Sales, Service, Parts",https://maps.app.goo.gl/ozffZEGuqCuVcts27
Derco Center Piura - A. Pakatnamú,AV. Sanchez Cerro Mz 248- lote 2- Zona industrial,-5.1853494,-80.6484213,"Sales, Service, Parts",https://maps.app.goo.gl/ozffZEGuqCuVcts27
Derco Center Piura - A. Pakatnamú,,,,General,
Derco Center Juliaca - Motor Mass Choquehuanca,Jr. Jose Domingo Choquehuanca MZ A - Lt 02,-24.1120341,-81.2151277,Sales,https://maps.app.goo.gl/bWNRzy9DG5r42qJt8
Derco Center Juliaca - Motor Mass Choquehuanca,Jr. Jose Domingo Choquehuanca MZ A - Lt 02,-24.1120341,-81.2151277,Sales,https://maps.app.goo.gl/bWNRzy9DG5r42qJt8
Derco Center Juliaca - Motor Mass Choquehuanca,,,,General,
Derco Center Motormass - Juliaca,Jr. Girasoles Nro. 515,-24.1070471,-81.2151427,"Service, Parts",https://maps.app.goo.gl/EZtxFy2XxM7PHTZK7
Derco Center Motormass - Juliaca,Jr. Girasoles Nro. 515,-24.1070471,-81.2151427,"Service, Parts",https://maps.app.goo.gl/EZtxFy2XxM7PHTZK7
Derco Center Motormass - Juliaca,,,,General,
Derco Center Motorshow - Tarapoto,Jr. Jimenez Pimentel Nro. 1235,-6.4965443,-76.3708467,"Sales, Service, Parts",https://maps.app.goo.gl/UjVCBZqCpqvxnytNA
Derco Center Motorshow - Tarapoto,Jr. Jimenez Pimentel Nro. 1235,-6.4965443,-76.3708467,"Sales, Service, Parts",https://maps.app.goo.gl/UjVCBZqCpqvxnytNA
Derco Center Motorshow - Tarapoto,,,,General,
Derco Center E Rimassa,Av. Leguía Nro. 510,-25.3460332,-81.2113373,"Sales, Service, Parts",https://maps.app.goo.gl/5vY7besZuRLYrG2r7
Derco Center E Rimassa,Av. Leguía Nro. 510,-25.3460332,-81.2113373,"Sales, Service, Parts",https://maps.app.goo.gl/5vY7besZuRLYrG2r7
Derco Center E Rimassa,,,,General,
Derco Center Gran Prix,JR. LETICIA Nro. 509,-8.358333,-74.5895962,"Sales, Service, Parts",https://maps.app.goo.gl/9UscfVNNC3YGhTuQA
Derco Center Gran Prix,JR. LETICIA Nro. 509,-8.358333,-74.5895962,"Sales, Service, Parts",https://maps.app.goo.gl/9UscfVNNC3YGhTuQA
Derco Center Gran Prix,,,,General,
Derco Center Satelital,"Avenida  Defensores del Morro 28, Lima 15064",,,"Sales, Service, Parts",
Derco Center Satelital,"Avenida  Defensores del Morro 28, Lima 15064",,,"Sales, Service, Parts",
Derco Center Satelital,,,,General,
Derco Center Automotores Inka,"Av. Enrique Meiggs, 1004 Chimbote",-12.0396261,-77.0591781,Sales,https://maps.app.goo.gl/svf1w4VhE2NBm6tJA
Derco Center Automotores Inka,"Av. Enrique Meiggs, 1004 Chimbote",-12.0396261,-77.0591781,Sales,https://maps.app.goo.gl/svf1w4VhE2NBm6tJA
Derco Center Automotores Inka,,,,General,
Derco Center Roberts Arequipa Aviación,Avenida aviación KM 6 Cerro Colorado,-16.3663477,-71.5612557,Sales,https://maps.app.goo.gl/U29tnQ96jeTzk3HK7
Derco Center Roberts Arequipa Aviación,Avenida aviación KM 6 Cerro Colorado,-16.3663477,-71.5612557,Sales,https://maps.app.goo.gl/U29tnQ96jeTzk3HK7
Derco Center Roberts Arequipa Aviación,,,,General,
Derco Center Satelital Bellavista,Avenida Oscar Benavides 3866 Callao,-12.054758,-77.103828,Sales,"https://www.google.com/maps/dir/Current+Location/-12.054758,-77.103828"
Derco Center Satelital Bellavista,Avenida Oscar Benavides 3866 Callao,-12.054758,-77.103828,Sales,"https://www.google.com/maps/dir/Current+Location/-12.054758,-77.103828"
Derco Center Satelital Bellavista,,,,General,
Dercocenter Pacífico Motors - Chincha,"Car. Ex Panamericana Sur Km 199, Chincha Alta",-13.4269022,-76.1335482,"Sales, Service, Parts",https://maps.app.goo.gl/JQhzheQKzrmQnQiX8
Dercocenter Pacífico Motors - Chincha,"Car. Ex Panamericana Sur Km 199, Chincha Alta",-13.4269022,-76.1335482,"Sales, Service, Parts",https://maps.app.goo.gl/JQhzheQKzrmQnQiX8
Dercocenter Pacífico Motors - Chincha,,,,General,
